Data_00_brain,10720 11446.873047 ,3199 3415.909668 ,3143 3356.112549 ,11471 12248.795898 ,14471 15452.212891 ,5568 5945.540527 ,5218 5571.808594 ,739 789.108276 ,737 786.972595 ,297 317.138214 ,3887 4150.559570 ,994 1061.398682 ,2982 3184.195557 ,1985 2119.593750 ,838 894.820984 ,1277 1363.587646 ,892 952.482361 ,409 436.732452 ,4229 4515.749512 ,7420 7923.115723 ,7979 8520.019531 ,11073 11823.809570 ,8575 9156.431641 ,10541 11255.736328 ,5194 5546.181641 ,8309 8872.395508 ,12637 13493.856445 ,16870 18013.876953 ,13466 14379.068359 ,1206 1287.773438 ,1401 1495.995361 ,14426 15404.162109 ,10607 11326.211914 ,2982 3184.195557 ,3296 3519.486572 ,4750 5072.075684 ,3621 3866.523438 ,9462 10103.574219 ,16300 17405.228516 ,10244 10938.599609 ,6123 6538.172363 ,6645 7095.567383 ,8005 8547.782227 ,9685 10341.696289 ,2178 2325.680176 ,1549 1654.030640 ,4951 5286.705078 ,4768 5091.296875 ,4613 4925.786133 ,16104 17195.937500 ,5665 6049.117676 ,904 965.296082 ,1121 1197.009888 ,10134 10821.140625 ,9680 10336.356445 ,6411 6845.700684 ,4984 5321.941895 ,11009 11755.470703 ,10336 11036.836914 ,6135 6550.986328 ,17216 18383.337891 ,5730 6118.524902 ,12714 13576.078125 ,10946 11688.198242 ,4669 4985.583496 ,4887 5218.364746 ,12073 12891.614258 ,13660 14586.221680 ,20130 21494.923828 ,20146 21512.007812 ,10145 10832.886719 ,3393 3623.063721 ,10365 11067.802734 ,10683 11407.365234 ,4201 4485.850586 ,3541 3781.099121 ,7192 7679.656250 ,4856 5185.263184 ,5595 5974.371582 ,15004 16021.351562 ,13835 14773.087891 ,8664 9251.465820 ,4573 4883.074219 ,4618 4931.125000 ,5276 5633.740723 ,5480 5851.574219 ,5461 5831.285156 ,5743 6132.406738 ,1236 1319.807495 ,1377 1470.368164 
Data_01_brain,12207 12207.000000 ,2390 2390.000000 ,2647 2647.000000 ,8166 8166.000000 ,14963 14963.000000 ,4661 4661.000000 ,4381 4381.000000 ,767 767.000000 ,994 994.000000 ,206 206.000000 ,8116 8116.000000 ,602 602.000000 ,1778 1778.000000 ,1163 1163.000000 ,807 807.000000 ,1615 1615.000000 ,936 936.000000 ,329 329.000000 ,8137 8137.000000 ,11304 11304.000000 ,22538 22538.000000 ,16129 16129.000000 ,12153 12153.000000 ,13508 13508.000000 ,5819 5819.000000 ,9355 9355.000000 ,13203 13203.000000 ,19511 19511.000000 ,13802 13802.000000 ,1982 1982.000000 ,1755 1755.000000 ,24370 24370.000000 ,16213 16213.000000 ,6588 6588.000000 ,7865 7865.000000 ,7026 7026.000000 ,5352 5352.000000 ,10870 10870.000000 ,21876 21876.000000 ,10294 10294.000000 ,8307 8307.000000 ,6935 6935.000000 ,11951 11951.000000 ,12014 12014.000000 ,3323 3323.000000 ,2464 2464.000000 ,6328 6328.000000 ,6231 6231.000000 ,7023 7023.000000 ,23900 23900.000000 ,7992 7992.000000 ,1564 1564.000000 ,1474 1474.000000 ,15552 15552.000000 ,11579 11579.000000 ,9959 9959.000000 ,7722 7722.000000 ,11682 11682.000000 ,15403 15403.000000 ,7290 7290.000000 ,26546 26546.000000 ,7957 7957.000000 ,10634 10634.000000 ,13746 13746.000000 ,2765 2765.000000 ,5465 5465.000000 ,9468 9468.000000 ,15469 15469.000000 ,22766 22766.000000 ,24206 24206.000000 ,18715 18715.000000 ,5104 5104.000000 ,16370 16370.000000 ,13119 13119.000000 ,6756 6756.000000 ,5694 5694.000000 ,15213 15213.000000 ,5446 5446.000000 ,10597 10597.000000 ,27667 27667.000000 ,21908 21908.000000 ,9979 9979.000000 ,6824 6824.000000 ,3665 3665.000000 ,6322 6322.000000 ,6251 6251.000000 ,6572 6572.000000 ,6731 6731.000000 ,2175 2175.000000 ,1354 1354.000000 
Data_02_brain,14329 14329.000000 ,1943 1943.000000 ,2939 2939.000000 ,8631 8631.000000 ,25619 25619.000000 ,4622 4622.000000 ,5483 5483.000000 ,679 679.000000 ,814 814.000000 ,183 183.000000 ,10967 10967.000000 ,872 872.000000 ,1801 1801.000000 ,1315 1315.000000 ,1087 1087.000000 ,1794 1794.000000 ,1156 1156.000000 ,365 365.000000 ,9548 9548.000000 ,9026 9026.000000 ,19883 19883.000000 ,12098 12098.000000 ,23470 23470.000000 ,26861 26861.000000 ,5685 5685.000000 ,9440 9440.000000 ,18034 18034.000000 ,23880 23880.000000 ,17004 17004.000000 ,2169 2169.000000 ,2339 2339.000000 ,16974 16974.000000 ,13085 13085.000000 ,6030 6030.000000 ,6553 6553.000000 ,7142 7142.000000 ,5294 5294.000000 ,12800 12800.000000 ,29069 29069.000000 ,11827 11827.000000 ,9320 9320.000000 ,7270 7270.000000 ,10762 10762.000000 ,10965 10965.000000 ,3454 3454.000000 ,2432 2432.000000 ,6581 6581.000000 ,6768 6768.000000 ,8002 8002.000000 ,21643 21643.000000 ,10553 10553.000000 ,1538 1538.000000 ,1293 1293.000000 ,15453 15453.000000 ,14614 14614.000000 ,9069 9069.000000 ,9333 9333.000000 ,12960 12960.000000 ,17684 17684.000000 ,5808 5808.000000 ,32655 32655.000000 ,7177 7177.000000 ,9889 9889.000000 ,12692 12692.000000 ,2985 2985.000000 ,4577 4577.000000 ,14801 14801.000000 ,22753 22753.000000 ,26226 26226.000000 ,28952 28952.000000 ,15482 15482.000000 ,7683 7683.000000 ,16954 16954.000000 ,9519 9519.000000 ,7478 7478.000000 ,5019 5019.000000 ,12574 12574.000000 ,5678 5678.000000 ,12834 12834.000000 ,26451 26451.000000 ,25614 25614.000000 ,10378 10378.000000 ,14366 14366.000000 ,5691 5691.000000 ,8180 8180.000000 ,7838 7838.000000 ,6819 6819.000000 ,6895 6895.000000 ,2092 2092.000000 ,1511 1511.000000 
Data_03_brain,11617 12376.877930 ,1019 1085.653687 ,1518 1617.293701 ,2386 2542.070068 ,8264 8804.554688 ,1303 1388.230347 ,2807 2990.608398 ,782 833.151367 ,904 963.131409 ,187 199.231827 ,5413 5767.068848 ,514 547.621155 ,1235 1315.782349 ,615 655.227722 ,981 1045.167969 ,1003 1068.607056 ,566 603.022522 ,268 285.530090 ,4721 5029.804688 ,8472 9026.161133 ,12159 12954.330078 ,13120 13978.190430 ,8775 9348.979492 ,8940 9524.772461 ,6225 6632.182129 ,11875 12651.752930 ,12814 13652.174805 ,23251 24771.869141 ,16878 17982.003906 ,1439 1533.126221 ,1616 1721.703979 ,14995 15975.835938 ,11774 12544.147461 ,2702 2878.739990 ,3430 3654.359131 ,4034 4297.867188 ,3755 4000.617920 ,10114 10775.565430 ,24096 25672.140625 ,10259 10930.049805 ,7713 8217.513672 ,8014 8538.202148 ,10327 11002.498047 ,10910 11623.632812 ,2904 3093.953125 ,2326 2478.145752 ,3909 4164.690918 ,6511 6936.889648 ,3249 3461.519775 ,19196 20451.626953 ,7162 7630.472168 ,681 725.544800 ,1461 1556.565308 ,15891 16930.443359 ,12004 12789.192383 ,11848 12622.988281 ,10078 10737.210938 ,6140 6541.622559 ,13033 13885.499023 ,9373 9986.096680 ,27175 28952.541016 ,8005 8528.613281 ,17241 18368.748047 ,13601 14490.653320 ,2174 2316.203125 ,6454 6876.161133 ,6762 7204.308594 ,15493 16506.410156 ,25341 26998.574219 ,27419 29212.500000 ,11998 12782.798828 ,3173 3380.548584 ,14238 15169.319336 ,12871 13712.902344 ,7649 8149.327637 ,6006 6398.857422 ,8083 8611.715820 ,4032 4295.736328 ,8381 8929.208008 ,19459 20731.830078 ,18821 20052.097656 ,10143 10806.461914 ,5504 5864.021973 ,7524 8016.150879 ,9324 9933.890625 ,8711 9280.793945 ,5492 5851.236328 ,5714 6087.757812 ,1892 2015.757446 ,1665 1773.909058 
Data_04_brain,14286 14286.000000 ,2143 2143.000000 ,3565 3565.000000 ,8311 8311.000000 ,21868 21868.000000 ,4306 4306.000000 ,4285 4285.000000 ,656 656.000000 ,1096 1096.000000 ,214 214.000000 ,8177 8177.000000 ,306 306.000000 ,916 916.000000 ,1185 1185.000000 ,982 982.000000 ,2530 2530.000000 ,719 719.000000 ,218 218.000000 ,10093 10093.000000 ,7904 7904.000000 ,16455 16455.000000 ,15217 15217.000000 ,10218 10218.000000 ,12373 12373.000000 ,7984 7984.000000 ,7295 7295.000000 ,9917 9917.000000 ,22041 22041.000000 ,13782 13782.000000 ,1945 1945.000000 ,1807 1807.000000 ,21005 21005.000000 ,15925 15925.000000 ,6599 6599.000000 ,6902 6902.000000 ,8246 8246.000000 ,6505 6505.000000 ,11227 11227.000000 ,19273 19273.000000 ,10192 10192.000000 ,6814 6814.000000 ,6045 6045.000000 ,11700 11700.000000 ,10378 10378.000000 ,4224 4224.000000 ,2670 2670.000000 ,6612 6612.000000 ,6342 6342.000000 ,6666 6666.000000 ,23702 23702.000000 ,6277 6277.000000 ,1684 1684.000000 ,1135 1135.000000 ,17068 17068.000000 ,9674 9674.000000 ,12316 12316.000000 ,11436 11436.000000 ,12129 12129.000000 ,13448 13448.000000 ,7840 7840.000000 ,25036 25036.000000 ,7580 7580.000000 ,13119 13119.000000 ,12437 12437.000000 ,2767 2767.000000 ,7554 7554.000000 ,11741 11741.000000 ,20908 20908.000000 ,24763 24763.000000 ,25960 25960.000000 ,12080 12080.000000 ,5978 5978.000000 ,12941 12941.000000 ,18141 18141.000000 ,7516 7516.000000 ,8279 8279.000000 ,16617 16617.000000 ,8387 8387.000000 ,11422 11422.000000 ,24353 24353.000000 ,22829 22829.000000 ,6761 6761.000000 ,7002 7002.000000 ,6326 6326.000000 ,6941 6941.000000 ,5968 5968.000000 ,7281 7281.000000 ,7496 7496.000000 ,2558 2558.000000 ,1305 1305.000000 
Data_05_brain,11995 11995.000000 ,1205 1205.000000 ,2558 2558.000000 ,4835 4835.000000 ,12165 12165.000000 ,2984 2984.000000 ,3566 3566.000000 ,502 502.000000 ,1066 1066.000000 ,195 195.000000 ,8329 8329.000000 ,419 419.000000 ,1008 1008.000000 ,1097 1097.000000 ,938 938.000000 ,1708 1708.000000 ,1008 1008.000000 ,260 260.000000 ,6888 6888.000000 ,7384 7384.000000 ,16393 16393.000000 ,14697 14697.000000 ,9918 9918.000000 ,10813 10813.000000 ,4771 4771.000000 ,7429 7429.000000 ,10219 10219.000000 ,19888 19888.000000 ,11610 11610.000000 ,2195 2195.000000 ,1612 1612.000000 ,19125 19125.000000 ,15413 15413.000000 ,5176 5176.000000 ,4783 4783.000000 ,7265 7265.000000 ,4012 4012.000000 ,8779 8779.000000 ,19259 19259.000000 ,8498 8498.000000 ,6211 6211.000000 ,4361 4361.000000 ,11590 11590.000000 ,10242 10242.000000 ,3191 3191.000000 ,3235 3235.000000 ,4984 4984.000000 ,4612 4612.000000 ,5670 5670.000000 ,21674 21674.000000 ,7011 7011.000000 ,1348 1348.000000 ,1278 1278.000000 ,14903 14903.000000 ,10547 10547.000000 ,11153 11153.000000 ,9298 9298.000000 ,9015 9015.000000 ,11271 11271.000000 ,6644 6644.000000 ,27601 27601.000000 ,7783 7783.000000 ,10695 10695.000000 ,9980 9980.000000 ,2748 2748.000000 ,6360 6360.000000 ,7793 7793.000000 ,14455 14455.000000 ,22630 22630.000000 ,22523 22523.000000 ,10157 10157.000000 ,4549 4549.000000 ,10604 10604.000000 ,11367 11367.000000 ,5879 5879.000000 ,5514 5514.000000 ,12447 12447.000000 ,3559 3559.000000 ,7784 7784.000000 ,22611 22611.000000 ,17495 17495.000000 ,8407 8407.000000 ,5973 5973.000000 ,3967 3967.000000 ,5250 5250.000000 ,4537 4537.000000 ,5790 5790.000000 ,6498 6498.000000 ,2284 2284.000000 ,1237 1237.000000 
Data_06_brain,9860 10525.848633 ,2470 2636.800049 ,2238 2389.133057 ,10690 11411.899414 ,12000 12810.365234 ,4814 5139.090820 ,4904 5235.168457 ,882 941.561768 ,803 857.226807 ,204 217.776199 ,3675 3923.174072 ,421 449.430298 ,1393 1487.069702 ,1306 1394.194702 ,1028 1097.421143 ,1404 1498.812622 ,970 1035.504517 ,298 318.124054 ,4196 4479.357422 ,6358 6787.357910 ,9338 9968.598633 ,8526 9101.764648 ,9025 9634.461914 ,8704 9291.785156 ,5263 5618.412598 ,8387 8953.376953 ,10489 11197.326172 ,22060 23549.720703 ,10917 11654.229492 ,1482 1582.080078 ,1680 1793.450928 ,12897 13767.939453 ,7059 7535.697266 ,2640 2818.280273 ,3108 3317.884521 ,3552 3791.867676 ,4016 4287.202148 ,9676 10329.423828 ,20903 22314.585938 ,11211 11968.083008 ,7284 7775.891113 ,5235 5588.521973 ,9781 10441.513672 ,11499 12275.531250 ,2473 2640.002686 ,1952 2083.819336 ,5083 5426.256836 ,5987 6391.304688 ,4567 4875.411621 ,16566 17684.708984 ,5617 5996.318359 ,367 391.783661 ,916 977.857849 ,16179 17271.574219 ,14083 15034.030273 ,10610 11326.498047 ,8486 9059.063477 ,14063 15012.679688 ,13296 14193.883789 ,6254 6676.334473 ,16406 17513.904297 ,6800 7259.206543 ,15942 17018.568359 ,9932 10602.712891 ,4940 5273.600098 ,5015 5353.664551 ,9474 10113.783203 ,11437 12209.344727 ,19300 20603.335938 ,20643 22037.027344 ,11165 11918.975586 ,2835 3026.448486 ,15181 16206.179688 ,11588 12370.541992 ,8697 9284.311523 ,6819 7279.489746 ,10701 11423.642578 ,3969 4237.027832 ,9536 10179.969727 ,19787 21123.222656 ,19264 20564.906250 ,10211 10900.553711 ,3954 4221.015137 ,5603 5981.373047 ,11910 12714.286133 ,15286 16318.268555 ,5284 5640.830566 ,4967 5302.423340 ,1639 1749.682373 ,1352 1443.301147 
Data_07_brain,11695 12585.918945 ,2424 2608.658691 ,2038 2193.253662 ,10304 11088.953125 ,12625 13586.765625 ,4362 4694.294434 ,3801 4090.557861 ,977 1051.427368 ,1004 1080.484131 ,177 190.483765 ,6263 6740.111816 ,442 475.671295 ,1651 1776.772217 ,1219 1311.862671 ,1270 1366.747925 ,1523 1639.021118 ,734 789.915649 ,306 329.310883 ,4975 5353.992676 ,7314 7871.176758 ,9196 9896.545898 ,12177 13104.636719 ,9607 10338.855469 ,12322 13260.682617 ,5055 5440.086426 ,7265 7818.443848 ,8545 9195.953125 ,21062 22666.490234 ,9189 9889.012695 ,1349 1451.765991 ,1556 1674.535034 ,15072 16220.175781 ,7882 8482.446289 ,3307 3558.925537 ,3860 4154.052246 ,4069 4378.974121 ,3655 3933.436035 ,9391 10106.401367 ,24086 25920.857422 ,10513 11313.875000 ,6859 7381.514648 ,5796 6237.536133 ,8975 9658.710938 ,9931 10687.538086 ,2742 2950.884033 ,2112 2272.890869 ,5134 5525.105469 ,4847 5216.241699 ,3844 4136.833984 ,17799 19154.916016 ,4739 5100.014648 ,750 807.134583 ,936 1007.303955 ,12427 13373.682617 ,8418 9059.278320 ,7996 8605.130859 ,6169 6638.951172 ,11757 12652.640625 ,11571 12452.472656 ,5465 5881.320801 ,16957 18248.775391 ,5535 5956.653320 ,14682 15800.466797 ,11448 12320.101562 ,3243 3490.049805 ,4917 5291.574219 ,8908 9586.606445 ,11316 12178.046875 ,21969 23642.585938 ,21485 23121.716797 ,9344 10055.821289 ,4178 4496.277832 ,9769 10513.196289 ,8937 9617.816406 ,5952 6405.419922 ,5346 5753.254883 ,7698 8284.429688 ,3562 3833.350830 ,5718 6153.594238 ,15014 16157.757812 ,15013 16156.681641 ,6553 7052.204102 ,4710 5068.805176 ,5134 5525.105469 ,9518 10243.075195 ,7133 7676.387695 ,4193 4512.419922 ,4448 4786.846191 ,1246 1340.919556 ,1194 1284.958252 
Data_08_brain,9958 10568.760742 ,3276 3476.929199 ,3514 3729.526611 ,13228 14039.323242 ,14711 15613.281250 ,5559 5899.954590 ,5255 5577.308594 ,822 872.416321 ,841 892.581726 ,283 300.357452 ,6945 7370.962402 ,965 1024.187134 ,3064 3251.926514 ,2535 2690.480957 ,1283 1361.691284 ,1379 1463.579224 ,1025 1087.867065 ,481 510.501556 ,5892 6253.378418 ,8900 9445.870117 ,13092 13894.982422 ,12617 13390.846680 ,9078 9634.787109 ,12360 13118.085938 ,5398 5729.079102 ,7086 7520.610840 ,10257 10886.099609 ,19250 20430.673828 ,10928 11598.254883 ,1606 1704.502075 ,1820 1931.627319 ,16565 17580.992188 ,12058 12797.562500 ,3311 3514.075928 ,4093 4344.039062 ,4381 4649.703125 ,4311 4575.409668 ,9873 10478.547852 ,23788 25247.007812 ,9399 9975.475586 ,8948 9496.814453 ,8181 8682.771484 ,10694 11349.903320 ,13649 14486.144531 ,3175 3369.734619 ,1878 1993.184692 ,6029 6398.781250 ,5523 5861.746094 ,5198 5516.812500 ,18119 19230.306641 ,6257 6640.765137 ,1443 1531.504639 ,1621 1720.421997 ,10325 10958.270508 ,10655 11308.510742 ,7143 7581.107422 ,6689 7099.261230 ,12290 13043.791992 ,13546 14376.827148 ,6675 7084.402344 ,18053 19160.257812 ,6602 7006.925293 ,18436 19566.748047 ,13009 13806.890625 ,5859 6218.354004 ,5570 5911.629395 ,12518 13285.776367 ,12016 12752.985352 ,20248 21489.884766 ,27564 29254.603516 ,9714 10309.795898 ,4451 4723.996582 ,10853 11518.654297 ,17334 18397.158203 ,7142 7580.045410 ,6104 6478.380859 ,14809 15717.291016 ,5500 5837.335449 ,7110 7546.083008 ,19432 20623.837891 ,15108 16034.629883 ,9269 9837.501953 ,5572 5913.751953 ,6524 6924.141602 ,7105 7540.776367 ,8525 9047.870117 ,5153 5469.052734 ,5627 5972.125000 ,1905 2021.840698 ,1894 2010.166138 
Data_09_brain,8795 9388.329102 ,2466 2632.361572 ,2763 2949.397705 ,9494 10134.486328 ,10844 11575.560547 ,4024 4295.467773 ,3883 4144.955566 ,997 1064.259766 ,841 897.735657 ,162 172.928864 ,4777 5099.267090 ,663 707.727417 ,2351 2509.603516 ,1635 1745.300659 ,752 802.731567 ,993 1059.989990 ,812 866.779297 ,446 476.088135 ,4653 4966.901367 ,5711 6096.276367 ,10963 11702.587891 ,9894 10561.470703 ,8875 9473.726562 ,9233 9855.877930 ,5531 5904.133301 ,6510 6949.178223 ,8484 9056.348633 ,15466 16509.371094 ,9931 10600.965820 ,1602 1710.074341 ,1587 1694.062500 ,16092 17177.601562 ,9774 10433.375977 ,2885 3079.628418 ,3487 3722.240479 ,3901 4164.169922 ,3514 3751.062012 ,10016 10691.701172 ,19668 20994.845703 ,10147 10831.538086 ,5224 5576.422363 ,3420 3650.720459 ,8932 9534.571289 ,9746 10403.486328 ,2567 2740.175293 ,1493 1593.721069 ,3796 4052.086426 ,3652 3898.371582 ,3896 4158.832520 ,14971 15980.977539 ,4854 5181.461426 ,1223 1305.506226 ,1250 1334.327637 ,6396 6827.487793 ,6205 6623.603027 ,4981 5317.029297 ,4206 4489.746094 ,7644 8159.681152 ,8744 9333.889648 ,5707 6092.007324 ,17962 19173.755859 ,4458 4758.746582 ,12509 13352.884766 ,8537 9112.924805 ,3600 3842.864014 ,4030 4301.872559 ,10508 11216.892578 ,12443 13282.432617 ,16958 18102.023438 ,22364 23872.724609 ,8566 9143.880859 ,3748 4000.848145 ,9367 9998.917969 ,13376 14278.374023 ,5680 6063.185059 ,5724 6110.153320 ,12864 13731.833984 ,4688 5004.263184 ,9184 9803.573242 ,17756 18953.859375 ,13268 14163.088867 ,7443 7945.121094 ,4435 4734.194824 ,7264 7754.045410 ,7590 8102.037598 ,7316 7809.553223 ,5176 5525.184570 ,5549 5923.347168 ,1280 1366.351562 ,1381 1474.165283 
Data_10_brain,9250 9969.778320 ,2570 2769.981689 ,2653 2859.440430 ,10213 11007.713867 ,11523 12419.649414 ,3747 4038.568848 ,3000 3233.441895 ,806 868.718018 ,771 830.994568 ,217 233.885620 ,4703 5068.958496 ,552 594.953308 ,1019 1098.292358 ,864 931.231262 ,981 1057.335449 ,1352 1457.204346 ,586 631.598938 ,236 254.364090 ,4780 5151.950195 ,6457 6959.444336 ,11177 12046.726562 ,8757 9438.416016 ,6167 6646.877930 ,9717 10473.118164 ,5903 6362.335449 ,7344 7915.464844 ,12581 13559.977539 ,18100 19508.431641 ,15864 17098.439453 ,915 986.199707 ,967 1042.246094 ,14401 15521.597656 ,7905 8520.119141 ,2972 3203.262939 ,3320 3578.342041 ,2977 3208.652100 ,3173 3419.903564 ,8828 9514.941406 ,24667 26586.435547 ,8914 9607.632812 ,5475 5901.031250 ,5018 5408.470215 ,10243 11040.048828 ,11706 12616.889648 ,1855 1999.344727 ,1734 1868.929321 ,3049 3286.254639 ,4123 4443.826660 ,3350 3610.676514 ,16067 17317.236328 ,4344 4682.023926 ,468 504.416901 ,556 599.264526 ,10455 11268.542969 ,7551 8138.572266 ,7411 7987.679199 ,7238 7801.216797 ,9493 10231.687500 ,11916 12843.230469 ,4773 5144.405762 ,19242 20739.296875 ,5417 5838.518066 ,11490 12384.082031 ,10172 10963.523438 ,4834 5210.152832 ,3323 3581.575684 ,9289 10011.814453 ,10343 11147.829102 ,18976 20452.595703 ,21517 23191.320312 ,9719 10475.273438 ,3587 3866.118408 ,13668 14731.560547 ,11573 12473.540039 ,6610 7124.350098 ,5661 6101.504883 ,8790 9473.984375 ,2872 3095.481689 ,9232 9950.377930 ,19864 21409.695312 ,13458 14505.219727 ,7341 7912.231445 ,4305 4639.988770 ,6432 6932.498535 ,5792 6242.698242 ,4817 5191.829590 ,4133 4454.604980 ,4564 4919.142578 ,1417 1527.262329 ,1299 1400.080322 
Data_11_brain,7210 7680.891602 ,679 723.346130 ,1014 1080.225342 ,2287 2436.366211 ,6519 6944.762207 ,1279 1362.532715 ,2128 2266.981689 ,300 319.593292 ,855 910.840881 ,281 299.352386 ,5708 6080.794434 ,302 321.723907 ,923 983.281982 ,744 792.591309 ,663 706.301086 ,936 997.130981 ,480 511.349243 ,208 221.584671 ,6366 6781.769043 ,8116 8646.063477 ,12684 13512.403320 ,11533 12286.230469 ,8171 8704.655273 ,9866 10510.358398 ,6490 6913.867676 ,8509 9064.730469 ,11707 12471.594727 ,14760 15723.988281 ,15292 16290.735352 ,1731 1844.053223 ,1576 1678.929932 ,16910 18014.408203 ,10772 11475.530273 ,4028 4291.072754 ,5005 5331.881348 ,4660 4964.349121 ,3365 3584.771484 ,11126 11852.648438 ,19162 20413.488281 ,11595 12352.279297 ,9762 10399.565430 ,7035 7494.462402 ,13189 14050.385742 ,13768 14667.201172 ,2678 2852.902588 ,1692 1802.506226 ,5933 6320.489746 ,6495 6919.194824 ,4505 4799.225586 ,17012 18123.070312 ,6760 7201.501953 ,1292 1376.381836 ,1252 1333.769409 ,4839 5155.039062 ,7203 7673.435059 ,3959 4217.565918 ,6146 6547.400391 ,4146 4416.779297 ,9083 9676.218750 ,3391 3612.469238 ,18877 20109.875000 ,4999 5325.488770 ,5899 6284.269531 ,10334 11008.922852 ,1066 1135.621460 ,4073 4339.011230 ,5694 6065.879883 ,11280 12016.708008 ,17248 18374.482422 ,22156 23603.029297 ,8908 9489.790039 ,4749 5059.161621 ,11378 12121.107422 ,6531 6957.545898 ,5681 6052.031738 ,2209 2353.271729 ,5563 5926.324219 ,2826 3010.568604 ,6318 6730.634277 ,19501 20774.628906 ,16728 17820.521484 ,10935 11649.175781 ,6091 6488.808594 ,4857 5174.214844 ,7350 7830.035645 ,6299 6710.393555 ,4513 4807.748047 ,4792 5104.969727 ,1459 1554.288574 ,1009 1074.898682 
